SN,TITLE,CONTENT_link,VOTE_SCORE,DATE
195798.0,서울시 시내버스 운행개편,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195798,0.0,2024-03-28 17:10:40.0
195797.0,지하철 역내 상점에서 우산판매  (장마철 기습호우 대비),https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195797,1.0,2024-03-28 14:19:58.0
195796.0,골목길 불법주차 단속,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195796,0.0,2024-03-28 10:43:13.0
195795.0,메트로팜 확대와 시민 텃밭,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195795,0.0,2024-03-28 09:21:38.0
195794.0,서울 페이 구입관련,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195794,0.0,2024-03-27 14:21:26.0
195793.0,상암월드컵 경기장 콘서트를 막아주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195793,10.0,2024-03-27 09:54:58.0
195791.0,벚꽃이 날리는 여의도에서-범승혁 노래틀어주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195791,1.0,2024-03-27 01:34:17.0
195790.0,강북구 버스 번호 변경 건의,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195790,0.0,2024-03-26 15:36:10.0
195789.0,기후동행카드 충전방식,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195789,0.0,2024-03-25 17:56:15.0
195788.0,소득제한을 두지 않는 보편적 한부모 혜택,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195788,0.0,2024-03-25 14:49:32.0
195787.0,망원 한강공원 수영장을 캠핑장으로 바꿔주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195787,0.0,2024-03-25 13:48:31.0
195786.0,운동장 주변 방음벽 설치,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195786,0.0,2024-03-24 14:57:21.0
195785.0,관악구 중앙동13통 지역,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195785,0.0,2024-03-23 15:52:55.0
195784.0,팔레스타인 관련 청년 강좌 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195784,0.0,2024-03-23 08:33:10.0
195783.0,한강자전거 도로 이용 에 대하여,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195783,0.0,2024-03-23 07:57:39.0
195782.0,한강다리 하단 교각(초석)에 만들면 좋을것 같습니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195782,1.0,2024-03-22 10:51:03.0
195781.0,"전기킥보드,자전거 지정주차구역에 주차하면좋겠습니다",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195781,0.0,2024-03-22 10:37:17.0
195780.0,골목에서 담배좀 안피게해주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195780,0.0,2024-03-22 10:36:38.0
